Year,Surgeon ID,Surgeon Name,Statewide All CABG Cases,Statewide Isolated CABG Cases,Statewide Isolated CABG Deaths,Statewide Observed Mortality Rate(%), Surgeon Total CABG Cases, Surgeon Total Isolated CABG Cases, Surgeon Total Isolated CABG Deaths,Overall Surgeon Operative Mortality  Risk Adjusted Rate (%),Overall Surgeon LCL,Overall Surgeon UCL,Overall Performance Rating,All CABG Cases per Hospital,Isolated CABG Cases per Hospital,Isolated CABG Deaths per Hospital,Observed Mortality Rate(%) per Hospital,Expected Mortality Rate(%) per Hospital,Risk-Adjusted Mortality Rate(%) per Hospital,Lower 95%CI per Hospital,Upper 95%CI per Hospital,  Performance Rating per Hospital,County,Hospital,OSHPD ID,Longitude,Latitude 
2017-2018,G40042,"Soltero, Michael J","32,297","25,838",603,2.33,136,99,3,3.09,0.64,9.03,Average,4,2,0,0,1.3,0,0,100,Average,Los Angeles,Providence Tarzana Medical Center,106190517,-118.53,34.17
2017-2018,G40042,"Soltero, Michael J","32,297","25,838",603,2.33,136,99,3,3.09,0.64,9.03,Average,2,2,1,50,5.16,22.62,0.57,100,Average,Los Angeles,Valley Presbyterian Hospital,106190812,-118.46,34.19
2017-2018,G40042,"Soltero, Michael J","32,297","25,838",603,2.33,136,99,3,3.09,0.64,9.03,Average,5,3,0,0,0.89,0,0,100,Average,Los Angeles,West Hills Hospital and Medical Center,106190859,-118.63,34.2
2017-2018,G49645,"Spowart, Gregory S","32,297","25,838",603,2.33,165,130,3,2,0.41,5.85,Average,165,130,3,2.31,2.69,2,0.41,5.85,Average,Monterey,Community Hospital of the Monterey Peninsula,106270744,-121.92,36.6
2017-2018,G60745,"Stahl, Richard D","32,297","25,838",603,2.33,247,193,3,1.57,0.32,4.58,Average,247,193,3,1.55,2.31,1.57,0.32,4.58,Average,San Diego,Scripps Memorial Hospital - La Jolla,106370771,-117.22,32.89
2017-2018,A42983,"Stanten, Russell D","32,297","25,838",603,2.33,122,109,3,2.99,0.62,8.75,Average,122,109,3,2.75,2.15,2.99,0.62,8.75,Average,Alameda,Alta Bates Summit Medical Center,106010937,-122.26,37.82
2017-2018,C42095,"Starnes, Vaughn A","32,297","25,838",603,2.33,79,36,0,0,0,22.67,Average,79,36,0,0,1.05,0,0,22.67,Average,Los Angeles,Keck Hospital of University of Southern California,106194219,-118.2,34.06
2017-2018,A33877,"Stein, Alexander G","32,297","25,838",603,2.33,86,62,2,2.94,0.36,10.62,Average,86,62,2,3.23,2.56,2.94,0.36,10.62,Average,Los Angeles,Memorialcare Long Beach Medical Center,106190525,-118.19,33.81
2017-2018,G33488,"Stewart, Robert D","32,297","25,838",603,2.33,58,49,2,2.33,0.28,8.42,Average,45,37,2,5.41,4.86,2.59,0.31,9.37,Average,Fresno,Community Regional Medical Center - Fresno,106100717,-119.78,36.74
2017-2018,G33488,"Stewart, Robert D","32,297","25,838",603,2.33,58,49,2,2.33,0.28,8.42,Average,2,2,0,0,0.71,0,0,100,Average,Fresno,Fresno Heart and Surgical Hospital,106105029,-119.79,36.86
2017-2018,G33488,"Stewart, Robert D","32,297","25,838",603,2.33,58,49,2,2.33,0.28,8.42,Average,11,10,0,0,1.89,0,0,45.54,Average,Fresno,Saint Agnes Medical Center,106100899,-119.76,36.84
2017-2018,G54697,"Stoneburner, John M","32,297","25,838",603,2.33,115,79,1,1.62,0.04,9.04,Average,115,79,1,1.27,1.82,1.62,0.04,9.04,Average,Los Angeles,Torrance Memorial Medical Center,106190422,-118.34,33.81
2017-2018,G154847,"Stowell, Donald E","32,297","25,838",603,2.33,38,38,2,3.29,0.4,11.89,Average,38,38,2,5.26,3.73,3.29,0.4,11.89,Average,San Joaquin,St. Joseph's Medical Center of Stockton,106391042,-121.29,37.97
2017-2018,A128359,"Sun, Jack C","32,297","25,838",603,2.33,120,75,1,1.32,0.03,7.37,Average,2,.,.,.,.,.,.,.,,Los Angeles,Keck Hospital of University of Southern California,106194219,-118.2,34.06
2017-2018,A128359,"Sun, Jack C","32,297","25,838",603,2.33,120,75,1,1.32,0.03,7.37,Average,86,51,1,1.96,2.64,1.73,0.04,9.66,Average,Los Angeles,Torrance Memorial Medical Center,106190422,-118.34,33.81
2017-2018,A128359,"Sun, Jack C","32,297","25,838",603,2.33,120,75,1,1.32,0.03,7.37,Average,32,24,0,0,1.75,0,0,20.54,Average,Orange,UC Irvine Medical Center,106301279,-117.89,33.79
2017-2018,C145282,"Tabe, Cyril E","32,297","25,838",603,2.33,1,1,0,0,0,100,Average,1,1,0,0,1.63,0,0,100,Average,Riverside,Desert Regional Medical Center,106331164,-116.55,33.84
2017-2018,A73331,"Talieh, Yahya J","32,297","25,838",603,2.33,57,52,2,2.97,0.36,10.73,Average,14,13,2,15.38,1.98,18.13,2.2,65.49,Average,Stanislaus,Doctors Medical Center,106500852,-121.2,37.8
2017-2018,A73331,"Talieh, Yahya J","32,297","25,838",603,2.33,57,52,2,2.97,0.36,10.73,Average,43,39,0,0,3.37,0,0,6.55,Average,Stanislaus,Memorial Medical Center - Modesto,106500939,-120.98,37.67
2017-2018,G75213,"Tang, Eddie","32,297","25,838",603,2.33,64,60,2,2.2,0.27,7.94,Average,13,12,0,0,3.09,0,0,23.25,Average,Butte,Enloe Medical Center - Esplanade,106040962,-121.85,39.74
2017-2018,G75213,"Tang, Eddie","32,297","25,838",603,2.33,64,60,2,2.2,0.27,7.94,Average,1,1,0,0,0.97,0,0,100,Average,Santa Clara,O'Connor Hospital,106430837,-121.94,37.33
2017-2018,G75213,"Tang, Eddie","32,297","25,838",603,2.33,64,60,2,2.2,0.27,7.94,Average,35,35,1,2.86,4.49,1.48,0.04,8.27,Average,Santa Clara,Regional Medical of San Jose,106430705,-121.85,37.36
2017-2018,G75213,"Tang, Eddie","32,297","25,838",603,2.33,64,60,2,2.2,0.27,7.94,Average,15,12,1,8.33,1.42,13.66,0.35,76.11,Average,San Francisco,"St. Mary's Medical Center, San Francisco",106380965,-122.45,37.77
2017-2018,A111977,"Tang, Taylor","32,297","25,838",603,2.33,173,160,3,2.45,0.5,7.15,Average,112,105,2,1.9,1.59,2.79,0.34,10.09,Average,Orange,Mission Hospital Regional Medical Center,106301262,-117.67,33.56
2017-2018,A111977,"Tang, Taylor","32,297","25,838",603,2.33,173,160,3,2.45,0.5,7.15,Average,43,40,1,2.5,2.28,2.56,0.06,14.26,Average,Orange,St. Joseph Hospital - Orange,106301340,-117.87,33.78
2017-2018,A111977,"Tang, Taylor","32,297","25,838",603,2.33,173,160,3,2.45,0.5,7.15,Average,18,15,0,0,1.85,0,0,31.05,Average,Orange,St. Jude Medical Center,106301342,-117.93,33.89
2017-2018,A45715,"Tedesco, Dominic J","32,297","25,838",603,2.33,103,94,2,3.31,0.4,11.96,Average,103,94,2,2.13,1.5,3.31,0.4,11.96,Average,Ventura,Community Memorial Hospital - San Buenaventura,106560473,-119.26,34.27
2017-2018,A81369,"Tendulkar, Amod P","32,297","25,838",603,2.33,189,168,2,0.76,0.09,2.76,Average,189,168,2,1.19,3.63,0.76,0.09,2.76,Average,San Joaquin,St. Joseph's Medical Center of Stockton,106391042,-121.29,37.97
2017-2018,G19938,"Thibault, William N","32,297","25,838",603,2.33,21,20,0,0,0,18.21,Average,2,2,0,0,0.78,0,0,100,Average,Orange,Mission Hospital Regional Medical Center,106301262,-117.67,33.56
2017-2018,G19938,"Thibault, William N","32,297","25,838",603,2.33,21,20,0,0,0,18.21,Average,19,18,0,0,2.54,0,0,18.83,Average,Orange,St. Jude Medical Center,106301342,-117.93,33.89
2017-2018,A38670,"Tovar, Eduardo A","32,297","25,838",603,2.33,177,103,0,0,0,2.31,Better,177,103,0,0,3.62,0,0,2.31,Better,Los Angeles,PIH Health Hospital - Whittier,106190631,-118.05,33.97
2017-2018,A44773,"Trento, Alfredo","32,297","25,838",603,2.33,106,47,1,4.35,0.11,24.26,Average,106,47,1,2.13,1.14,4.35,0.11,24.26,Average,Los Angeles,Cedars Sinai Medical Center,106190555,-118.38,34.08
2017-2018,C146432,"Trivedi, Dhaval","32,297","25,838",603,2.33,261,241,1,0.57,0.01,3.18,Average,261,241,1,0.41,1.7,0.57,0.01,3.18,Average,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,-118.3,34.1
2017-2018,A37268,"Trivedi, Rohitkumar R","32,297","25,838",603,2.33,83,77,3,3.55,0.73,10.36,Average,69,63,2,3.17,2.64,2.81,0.34,10.14,Average,San Bernardino,Desert Valley Hospital,106364144,-117.3,34.47
2017-2018,A37268,"Trivedi, Rohitkumar R","32,297","25,838",603,2.33,83,77,3,3.55,0.73,10.36,Average,14,14,1,7.14,2.22,7.5,0.19,41.8,Average,San Bernardino,St. Mary Medical Center - Apple Valley,106361343,-117.27,34.54
2017-2018,C55016,"Tsau, Pei H","32,297","25,838",603,2.33,181,148,3,1.41,0.29,4.12,Average,173,141,3,2.13,3.43,1.45,0.3,4.23,Average,Santa Clara,El Camino Hospital,106430763,-122.08,37.37
2017-2018,C55016,"Tsau, Pei H","32,297","25,838",603,2.33,181,148,3,1.41,0.29,4.12,Average,1,1,0,0,0.76,0,0,100,Average,Santa Clara,Good Samaritan Hospital - San Jose,106430779,-121.94,37.25
2017-2018,C55016,"Tsau, Pei H","32,297","25,838",603,2.33,181,148,3,1.41,0.29,4.12,Average,7,6,0,0,2.09,0,0,68.8,Average,San Mateo,Mills-Peninsula Medical Center,106410852,-122.38,37.59
2017-2018,G70821,"Tyner, John J","32,297","25,838",603,2.33,190,140,2,2.93,0.36,10.59,Average,190,140,2,1.43,1.14,2.93,0.36,10.59,Average,San Diego,Scripps Memorial Hospital - La Jolla,106370771,-117.22,32.89
2017-2018,A51477,"Veeragandham, Ramesh S","32,297","25,838",603,2.33,121,92,0,0,0,3.52,Average,103,79,0,0,2.89,0,0,3.77,Average,Contra  Costa,John Muir Medical Center - Concord Campus,106071018,-122.04,37.99
2017-2018,A51477,"Veeragandham, Ramesh S","32,297","25,838",603,2.33,121,92,0,0,0,3.52,Average,5,1,0,0,1.06,0,0,100,Average,Contra  Costa,San Ramon Regional Medical Center,106074017,-121.96,37.78
2017-2018,A51477,"Veeragandham, Ramesh S","32,297","25,838",603,2.33,121,92,0,0,0,3.52,Average,13,12,0,0,1.25,0,0,57.35,Average,Alameda,Stanford Health Care - Valleycare,106014050,-121.88,37.69
2017-2018,A60823,"Vial, Conrad M","32,297","25,838",603,2.33,31,18,0,0,0,50,Average,12,7,0,0,1,0,0,100,Average,Santa Clara,El Camino Hospital,106430763,-122.08,37.37
2017-2018,A60823,"Vial, Conrad M","32,297","25,838",603,2.33,31,18,0,0,0,50,Average,19,11,0,0,0.93,0,0,84.51,Average,San Mateo,Mills-Peninsula Medical Center,106410852,-122.38,37.59
2017-2018,A97959,"Vo, Quang T","32,297","25,838",603,2.33,21,18,0,0,0,58.01,Average,1,.,.,.,.,.,.,.,,Los Angeles,Emante Health Inter-Community Hospital,106190413,-117.89,34.09
2017-2018,A97959,"Vo, Quang T","32,297","25,838",603,2.33,21,18,0,0,0,58.01,Average,3,3,0,0,0.42,0,0,100,Average,Orange,Fountain Valley Regional Hospital and Medical Center - Euclid,106301175,-117.94,33.72
2017-2018,A97959,"Vo, Quang T","32,297","25,838",603,2.33,21,18,0,0,0,58.01,Average,12,11,0,0,1.01,0,0,77.64,Average,Los Angeles,Garfield Medical Center,106190315,-118.12,34.07
2017-2018,A97959,"Vo, Quang T","32,297","25,838",603,2.33,21,18,0,0,0,58.01,Average,1,1,0,0,0.65,0,0,100,Average,Los Angeles,Memorialcare Long Beach Medical Center,106190525,-118.19,33.81
2017-2018,A97959,"Vo, Quang T","32,297","25,838",603,2.33,21,18,0,0,0,58.01,Average,4,3,0,0,0.62,0,0,100,Average,Riverside,Riverside Community Hospital,106331312,-117.38,33.98
2017-2018,A64189,"Vunnamadala, Syam P","32,297","25,838",603,2.33,140,132,7,4.14,1.66,8.53,Average,64,59,3,5.08,3.53,3.37,0.69,9.84,Average,Orange,AHMC Anaheim Regional Medical Center,106301098,-117.93,33.85
2017-2018,A64189,"Vunnamadala, Syam P","32,297","25,838",603,2.33,140,132,7,4.14,1.66,8.53,Average,10,8,0,0,4.96,0,0,21.71,Average,Orange,Anaheim Global Medical Center,106301188,-117.91,33.82
2017-2018,A64189,"Vunnamadala, Syam P","32,297","25,838",603,2.33,140,132,7,4.14,1.66,8.53,Average,66,65,4,6.15,2.26,6.35,1.73,16.26,Average,Orange,West Anaheim Medical Center,106301379,-117.99,33.82
2017-2018,G55739,"Wang, Nan","32,297","25,838",603,2.33,311,222,3,1.31,0.27,3.83,Average,14,12,0,0,3.2,0,0,22.44,Average,Riverside,Riverside Community Hospital,106331312,-117.38,33.98
2017-2018,G55739,"Wang, Nan","32,297","25,838",603,2.33,311,222,3,1.31,0.27,3.83,Average,232,163,3,1.84,2.38,1.8,0.37,5.27,Average,San Bernardino,San Antonio Regional Hospital,106361318,-117.64,34.1
2017-2018,G55739,"Wang, Nan","32,297","25,838",603,2.33,311,222,3,1.31,0.27,3.83,Average,65,47,0,0,2.3,0,0,7.95,Average,San Bernardino,St. Mary Medical Center - Apple Valley,106361343,-117.27,34.54
2017-2018,A148900,"Watkins, Amelia C","32,297","25,838",603,2.33,11,7,1,9.5,0.24,52.93,Average,11,7,1,14.29,3.51,9.5,0.24,52.93,Average,Santa Clara,Stanford Health Care,106430905,-122.18,37.43
2017-2018,G44660,"West, Phillip N","32,297","25,838",603,2.33,64,53,2,4.29,0.52,15.49,Average,64,53,2,3.77,2.05,4.29,0.52,15.49,Average,Santa Barbara,Santa Barbara Cottage Hospital,106420514,-119.72,34.43
2017-2018,SFP19,"Wieselthaler, Georg M","32,297","25,838",603,2.33,40,30,1,4.14,0.1,23.09,Average,40,30,1,3.33,1.88,4.14,0.1,23.09,Average,San Francisco,UC San Francisco Medical Center,106381154,-122.46,37.76
2017-2018,A50443,"Wilson, Joseph W","32,297","25,838",603,2.33,156,129,1,1.04,0.03,5.81,Average,156,129,1,0.78,1.73,1.04,0.03,5.81,Average,Riverside,Eisenhower Medical Center,106331168,-116.41,33.76
2017-2018,G128440,"Woo, Yi-Ping J","32,297","25,838",603,2.33,107,33,0,0,0,19.57,Average,107,33,0,0,1.33,0,0,19.57,Average,Santa Clara,Stanford Health Care,106430905,-122.18,37.43
2017-2018,A129446,"Wozniak, Curtis J","32,297","25,838",603,2.33,21,21,0,0,0,22.77,Average,6,6,0,0,1.31,0,0,100,Average,San Francisco,Kaiser Foundation Hospital - San Francisco,106380857,-122.44,37.78
2017-2018,A129446,"Wozniak, Curtis J","32,297","25,838",603,2.33,21,21,0,0,0,22.77,Average,1,1,0,0,0.25,0,0,100,Average,Marin,Marin General Hospital,106211006,-122.54,37.95
2017-2018,A129446,"Wozniak, Curtis J","32,297","25,838",603,2.33,21,21,0,0,0,22.77,Average,3,3,0,0,1.09,0,0,100,Average,Solano,North Bay Medical Center,106481357,-122.05,38.26
2017-2018,A129446,"Wozniak, Curtis J","32,297","25,838",603,2.33,21,21,0,0,0,22.77,Average,11,11,0,0,2.4,0,0,32.58,Average,San Francisco,UC San Francisco Medical Center,106381154,-122.46,37.76
2017-2018,C156398,"Yankey, Godfred K","32,297","25,838",603,2.33,27,23,2,6.1,0.74,22.02,Average,27,23,2,8.7,3.33,6.1,0.74,22.02,Average,Fresno,Saint Agnes Medical Center,106100899,-119.76,36.84
2017-2018,A37855,"Yap, Alexander G","32,297","25,838",603,2.33,33,30,1,1.91,0.05,10.65,Average,33,30,1,3.33,4.07,1.91,0.05,10.65,Average,San Mateo,Seton Medical Center,106410817,-122.47,37.68
2017-2018,G54353,"Yasuda, Roderick K","32,297","25,838",603,2.33,175,151,5,2.81,0.91,6.55,Average,28,21,0,0,3.39,0,0,12.09,Average,Los Angeles,Henry Mayo Newhall Hospital,106190949,-118.55,34.4
2017-2018,G54353,"Yasuda, Roderick K","32,297","25,838",603,2.33,175,151,5,2.81,0.91,6.55,Average,49,44,2,4.55,2.36,4.49,0.54,16.24,Average,Los Angeles,Northridge Hospital Medical Center,106190568,-118.53,34.22
2017-2018,G54353,"Yasuda, Roderick K","32,297","25,838",603,2.33,175,151,5,2.81,0.91,6.55,Average,39,36,1,2.78,3.26,1.99,0.05,11.09,Average,Los Angeles,Providence Holy Cross Medical Center,106190385,-118.46,34.28
2017-2018,G54353,"Yasuda, Roderick K","32,297","25,838",603,2.33,175,151,5,2.81,0.91,6.55,Average,8,8,0,0,0.97,0,0,100,Average,Los Angeles,Providence Tarzana Medical Center,106190517,-118.53,34.17
2017-2018,G54353,"Yasuda, Roderick K","32,297","25,838",603,2.33,175,151,5,2.81,0.91,6.55,Average,6,6,1,16.67,1.73,22.52,0.57,100,Average,Los Angeles,Valley Presbyterian Hospital,106190812,-118.46,34.19
2017-2018,G54353,"Yasuda, Roderick K","32,297","25,838",603,2.33,175,151,5,2.81,0.91,6.55,Average,45,36,1,2.78,2.92,2.22,0.06,12.37,Average,Los Angeles,West Hills Hospital and Medical Center,106190859,-118.63,34.2
2017-2018,A25613,"Yokoyama, Taro","32,297","25,838",603,2.33,82,78,5,8.15,2.65,19.02,Worse,64,63,5,7.94,2.05,9.02,2.93,21.06,Worse,Los Angeles,Hollywood Presbyterian Medical Center,106190382,-118.29,34.1
2017-2018,A25613,"Yokoyama, Taro","32,297","25,838",603,2.33,82,78,5,8.15,2.65,19.02,Worse,18,15,0,0,0.92,0,0,62.28,Average,Los Angeles,St. Vincent Medical Center,106190762,-118.27,34.06
2017-2018,C33793,"Young, Joseph N","32,297","25,838",603,2.33,39,26,0,0,0,21.26,Average,39,26,0,0,1.56,0,0,21.26,Average,Sacramento,UC Davis Medical Center,106341006,-121.46,38.55
2017-2018,G61176,"Yun, Kwok L","32,297","25,838",603,2.33,388,273,3,1.75,0.36,5.12,Average,6,1,0,0,0.82,0,0,100,Average,San Bernardino,Kaiser Foundation Hospital - Fontana,106361223,-117.44,34.07
2017-2018,G61176,"Yun, Kwok L","32,297","25,838",603,2.33,388,273,3,1.75,0.36,5.12,Average,382,272,3,1.1,1.47,1.76,0.36,5.13,Average,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,-118.3,34.1
2017-2018,A82600,"Zhu, Henry L","32,297","25,838",603,2.33,399,320,1,0.38,0.01,2.12,Better,399,320,1,0.31,1.92,0.38,0.01,2.12,Better,Sacramento,Mercy General Hospital,106340947,-121.45,38.57
